Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737110913.0714624,75.1,2.3,44.9
1737110914.071551,75.3,2.3,44.9
1737110915.0716798,75.6,2.3,44.9
1737110916.0717394,75.1,2.3,44.9
1737110917.0718172,74.9,2.3,44.9
1737110918.0718338,75.1,2.3,44.9
1737110919.0719552,75.3,2.3,44.9
1737110920.072047,74.3,2.3,44.9
1737110921.0721319,75.4,2.3,44.9
1737110922.0722194,75.2,2.3,44.9
1737110923.0723968,75.1,2.3,44.9
1737110924.0723982,75.1,2.3,44.9
1737110925.0724635,75.4,2.3,44.9
1737110926.072538,74.6,2.3,44.9
1737110927.0726483,75.2,2.3,44.9
1737110928.0727181,74.9,2.3,44.9
1737110929.0728161,75.4,2.3,44.9
1737110930.0729659,75.1,2.3,44.9
1737110931.0729952,75.1,2.3,44.9
1737110932.0730655,75.3,2.3,44.9
1737110933.0731595,75.2,2.3,44.9
1737110934.0732226,75.1,2.3,44.9
1737110935.0733232,74.9,2.3,44.9
1737110936.0733776,75.3,2.3,44.9
1737110937.0735142,75.1,2.3,44.9
1737110938.0735917,75.3,2.3,44.9
1737110939.0736766,74.9,2.3,44.9
1737110940.0737648,75.2,2.3,44.9
1737110941.0738468,74.3,2.3,44.9
1737110942.0738542,74.7,2.3,44.9
1737110943.0740044,75.3,2.3,44.9
1737110944.0740106,74.3,2.3,44.9
1737110945.0741599,75.3,2.3,44.9
1737110946.074242,75.1,2.3,44.9
1737110947.0743504,74.5,2.3,44.9
1737110948.0744324,75.3,2.3,44.9
1737110949.0745296,74.9,2.3,44.9
1737110950.0745997,70.1,2.3,44.9
1737110951.0746875,74.8,2.3,44.9
1737110952.074773,74.0,2.3,44.9
1737110953.0748656,74.1,2.3,44.9
1737110954.0749404,74.3,2.3,44.9
1737110955.0750604,75.1,2.3,44.9
1737110956.0751147,73.9,2.3,44.9
1737110957.0751963,75.6,2.3,44.9
1737110958.0752718,75.1,2.3,44.9
1737110959.075375,75.1,2.3,44.9
1737110960.0754535,75.4,2.3,44.9
1737110961.0755541,74.0,2.3,44.9
1737110962.0755954,75.4,2.3,44.9
1737110963.0757911,75.4,2.3,44.9
1737110964.0757976,75.1,2.3,44.9
1737110965.0758665,74.8,2.3,44.9
1737110966.0759244,75.3,2.3,44.9
1737110967.0760422,74.9,2.3,44.9
1737110968.0762773,74.8,2.3,44.9
1737110969.0763938,74.4,2.3,44.9
1737110970.076514,74.5,2.3,44.9
1737110971.07665,75.2,2.3,44.9
1737110972.0766943,75.4,2.3,44.9
1737110973.0768385,75.1,2.3,44.9
1737110974.0768752,74.8,2.3,44.9
1737110975.0770128,75.0,2.3,44.9
1737110976.077121,74.5,2.3,44.9
1737110977.077302,74.8,2.3,44.9
1737110978.0774062,75.3,2.3,44.9
1737110979.0774407,75.4,2.3,44.9
1737110980.0775054,75.3,2.3,44.9
1737110981.0778348,75.3,2.3,44.9
1737110982.07793,75.1,2.3,44.9
1737110983.0780573,75.4,2.3,44.9
1737110984.0780687,75.1,2.3,44.9
1737110985.0782404,74.9,2.3,44.9
1737110986.0783572,75.3,2.3,44.9
1737110987.0785153,74.9,2.3,44.9
1737110988.078841,75.4,2.3,44.9
1737110989.0787108,75.1,2.3,44.9
1737110990.0827203,74.6,2.3,44.9
1737110991.0828595,75.3,2.3,44.9
1737110992.0829496,75.3,2.3,44.9
1737110993.0830703,75.1,2.3,44.9
1737110994.0831482,75.1,2.3,44.9
1737110995.083337,75.2,2.3,44.9
1737110996.0834284,74.9,2.3,44.9
1737110997.0835009,75.2,2.3,44.9
1737110998.0837204,75.4,2.3,44.9
1737110999.083818,75.1,2.3,44.9
1737111000.0838842,75.3,2.3,44.9
1737111001.0840425,75.0,2.3,44.9
1737111002.0841749,75.5,2.3,44.9
1737111003.0842485,75.1,2.3,44.9
1737111004.0843563,75.3,2.3,44.9
1737111005.084487,74.7,2.3,44.9
1737111006.0845711,74.6,2.3,44.9
1737111007.0849478,75.3,2.3,44.9
1737111008.0848272,73.2,2.3,44.9
1737111009.0849211,74.8,2.3,44.9
1737111010.0850189,75.2,2.3,44.9
1737111011.085578,75.2,2.3,44.9
1737111012.0867813,74.3,2.3,44.9
1737111013.0868561,74.5,2.3,44.9
1737111014.0869775,75.2,2.3,44.9
1737111015.08717,74.8,2.3,44.9
1737111016.087257,74.6,2.3,44.9
1737111017.089022,75.3,2.3,44.9
1737111018.0891223,74.8,2.3,44.9
1737111019.0896463,75.1,2.3,44.9
1737111020.0893812,75.3,2.3,44.9
1737111021.0895078,73.6,2.3,44.9
1737111022.0896127,75.3,2.3,44.9
1737111023.0897233,75.5,2.3,44.9
1737111024.0898042,74.5,2.3,44.9
1737111025.0899184,75.1,2.3,44.9
1737111026.090031,75.2,2.3,44.9
1737111027.0901315,75.1,2.3,44.9
1737111028.090386,75.1,2.3,44.9
1737111029.0903988,74.6,2.3,44.9
1737111030.0906355,74.3,2.3,44.9
1737111031.0906644,75.0,2.3,44.9
1737111032.090614,75.3,2.3,44.9
1737111033.0906942,74.6,2.3,44.9
1737111034.0908213,74.5,2.3,44.9
1737111035.0909739,75.1,2.3,44.9
1737111036.0910108,74.8,2.3,44.9
1737111037.0910974,72.7,2.3,44.9
1737111038.0912008,74.8,2.3,44.9
1737111039.0912812,74.8,2.3,44.9
1737111040.0914495,74.6,2.3,44.9
1737111041.0915015,74.0,2.3,44.9
1737111042.0917087,75.4,2.3,44.9
1737111043.0917187,74.8,2.3,44.9
1737111044.0918932,74.9,2.3,44.9
1737111045.0919678,74.9,2.3,44.9
1737111046.0921092,74.3,2.3,44.9
1737111047.0920897,74.6,2.3,44.9
1737111048.0921698,74.8,2.3,44.9
1737111049.092267,74.7,2.3,44.9
1737111050.0923483,74.1,2.3,44.9
1737111051.0924408,74.4,2.3,44.9
1737111052.0925229,75.2,2.3,44.9
1737111053.0926173,74.1,2.3,44.9
1737111054.093299,74.8,2.3,44.9
1737111055.0932894,74.3,2.3,44.9
1737111056.0933874,75.1,2.3,44.9
1737111057.0935562,75.3,2.3,44.9
1737111058.0942824,74.4,2.3,44.9
1737111059.0943716,74.8,2.3,44.9
1737111060.0945592,74.7,2.3,44.9
1737111061.094577,74.8,2.3,44.9
1737111062.094669,74.2,2.3,44.9
1737111063.0947886,75.2,2.3,44.9
1737111064.0948718,75.3,2.3,44.9
1737111065.0950198,74.3,2.3,44.9
1737111066.0950809,74.3,2.3,44.9
1737111067.095142,73.5,2.3,44.9
1737111068.0952725,74.3,2.3,44.9
1737111069.095424,74.6,2.3,44.9
1737111070.0956726,74.7,2.3,44.9
1737111071.095678,75.3,2.3,44.9
1737111072.0957298,74.1,2.3,44.9
1737111073.0961986,74.9,2.3,44.9
1737111074.0960503,75.1,2.3,44.9
1737111075.0961375,75.1,2.3,44.9
1737111076.0962863,74.3,2.3,44.9
1737111077.0963225,74.1,2.3,44.9
1737111078.0964952,74.3,2.3,44.9
1737111079.09652,74.4,2.3,44.9
1737111080.0965626,74.9,2.3,44.9
1737111081.0966907,74.7,2.3,44.9
1737111082.0967774,75.2,2.3,44.9
1737111083.0969288,75.1,2.3,44.9
1737111084.0969653,74.7,2.3,44.9
1737111085.0971317,75.3,2.3,44.9
1737111086.097136,74.7,2.3,44.9
1737111087.0972373,74.8,2.3,44.9
1737111088.0973394,74.6,2.3,44.9
1737111089.0974185,74.5,2.3,44.9
1737111090.0975153,75.3,2.3,44.9
1737111091.097674,72.3,2.3,44.9
1737111092.0977688,75.4,2.3,44.9
1737111093.0978007,74.7,2.3,44.9
1737111094.097956,74.8,2.3,44.9
1737111095.0979998,74.8,2.3,44.9
1737111096.0980752,74.8,2.3,44.9
1737111097.098205,75.2,2.3,44.9
1737111098.0983777,75.3,2.3,44.9
1737111099.098477,74.4,2.3,44.9
1737111100.098458,74.6,2.3,44.9
1737111101.0985894,74.7,2.3,44.9
1737111102.0986738,74.7,2.3,44.9
1737111103.0987842,75.1,2.3,44.9
1737111104.0989497,74.6,2.3,44.9
1737111105.098977,74.6,2.3,44.9
1737111106.099064,74.9,2.3,44.9
1737111107.0993352,73.5,2.3,44.9
1737111108.0993261,72.6,2.3,44.9
1737111109.0994549,0.0,2.3,44.9
1737111110.0995672,30.0,2.3,44.9
1737111111.0995996,74.8,2.4,44.9
1737111112.0996783,75.3,2.3,44.9
1737111113.099764,74.3,2.3,44.9
1737111114.0998201,74.9,2.3,44.9
1737111115.0999634,74.9,2.3,44.9
1737111116.1000557,73.2,2.3,44.9
1737111117.1001043,75.4,2.3,44.9
1737111118.100196,74.4,2.3,44.9
1737111119.1002553,74.8,2.3,44.9
1737111120.10032,74.4,2.3,44.9
1737111121.1004388,73.9,2.3,44.9
1737111122.1005535,75.5,2.3,44.9
1737111123.1006696,74.2,2.4,44.9
1737111124.1007125,75.1,2.4,44.9
1737111125.1007965,73.1,2.4,44.9
1737111126.1009352,75.3,2.4,44.9
1737111127.1009915,74.6,2.4,44.9
1737111128.1011205,74.6,2.3,44.9
1737111129.1012304,74.7,2.3,44.9
1737111130.1013224,74.7,2.4,44.9
1737111131.101405,74.9,2.4,44.9
1737111132.1017013,74.8,2.4,44.9
1737111133.1016235,75.3,2.4,44.9
1737111134.1018379,74.3,2.4,44.9
1737111135.101874,74.9,2.4,44.9
1737111136.1019082,74.6,2.4,44.9
1737111137.1020257,74.1,2.4,44.9
1737111138.10212,74.6,2.4,44.9
1737111139.1021936,74.7,2.4,44.9
1737111140.1022835,74.9,2.4,44.9
1737111141.1023984,75.0,2.4,44.9
1737111142.1025088,74.9,2.4,44.9
1737111143.102673,75.3,2.4,44.9
1737111144.1027038,74.6,2.4,44.9
1737111145.1028078,74.1,2.4,44.9
1737111146.1029103,75.0,2.4,44.9
1737111147.1035936,75.3,2.4,44.9
1737111148.1033475,74.6,2.4,44.9
1737111149.1033854,74.8,2.4,44.9
1737111150.1034853,74.6,2.4,44.9
1737111151.103644,74.6,2.4,44.9
1737111152.103686,75.6,2.4,44.9
1737111153.1037796,74.6,2.4,44.9
1737111154.1038828,74.6,2.4,44.9
1737111155.1039855,74.7,2.4,44.9
1737111156.104121,73.5,2.4,44.9
1737111157.1042535,73.8,2.4,44.9
1737111158.1045537,74.8,2.4,44.9
1737111159.1043704,74.1,2.4,44.9
1737111160.1044188,68.6,2.4,44.9
1737111161.104602,73.6,2.4,44.9
1737111162.1046429,74.3,2.4,44.9
1737111163.1048186,74.9,2.4,44.9
1737111164.1048644,74.6,2.4,44.9
1737111165.1049826,74.5,2.4,44.9
1737111166.1050699,74.1,2.4,44.9
1737111167.1051552,75.1,2.4,44.9
1737111168.1053815,74.5,2.4,44.9
1737111169.105415,74.5,2.4,44.9
1737111170.1054654,74.6,2.4,44.9
1737111171.1055536,75.2,2.4,44.9
1737111172.1056435,74.5,2.4,44.9
1737111173.1057312,74.3,2.4,44.9
