Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.1,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,6.7,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,7.0,16.9
Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
69.01,100.0,21.0,22.3
70.01,100.0,21.0,22.3
71.01,100.0,21.0,22.3
72.01,100.0,21.0,22.3
73.01,100.0,21.0,22.3
74.01,100.0,21.0,22.3
75.01,99.7,21.0,22.3
76.01,100.0,21.0,22.3
77.01,100.0,21.0,22.3
78.01,100.0,21.0,22.3
79.01,99.8,21.1,22.3
80.01,100.0,21.1,22.3
81.01,100.0,21.1,22.3
82.01,99.5,21.2,22.3
83.01,100.0,21.2,22.3
84.01,100.0,21.1,22.3
85.01,100.0,21.1,22.3
86.01,100.0,21.1,22.3
87.01,100.0,21.1,22.3
88.01,100.0,21.1,22.3
89.01,99.8,21.1,22.3
90.01,100.0,21.1,22.3
91.01,100.0,21.0,22.3
92.01,100.0,21.0,22.3
93.01,100.0,21.1,22.3
94.01,100.0,21.1,22.3
95.01,100.0,21.1,22.3
96.01,99.5,21.1,22.3
97.01,100.0,21.1,22.3
98.01,100.0,21.1,22.3
99.01,100.0,21.1,22.3
100.01,100.0,21.1,22.3
101.01,100.0,21.1,22.3
102.01,100.0,21.1,22.3
103.01,99.7,21.1,22.3
104.01,100.0,21.1,22.3
105.01,100.0,21.1,22.3
106.01,100.0,21.1,22.3
107.01,100.0,21.1,22.3
108.01,100.0,20.9,22.3
109.01,100.0,21.0,22.3
110.01,100.0,21.0,22.3
111.01,100.0,21.0,22.3
112.01,100.0,21.0,22.3
113.01,100.0,21.0,22.3
114.01,100.0,21.0,22.3
115.01,100.0,21.0,22.3
116.01,100.0,21.0,22.3
117.01,99.3,21.1,22.3
118.01,100.0,21.0,22.3
119.02,99.3,21.0,22.3
120.02,99.7,21.1,22.3
121.02,100.0,21.1,22.3
122.02,100.0,21.1,22.3
123.02,100.0,21.1,22.3
124.02,99.8,21.1,22.3
125.02,100.0,21.1,22.3
126.02,100.0,21.1,22.3
127.02,100.0,21.1,22.3
128.02,100.0,21.0,22.3
129.02,99.8,21.0,22.3
130.02,100.0,21.0,22.3
131.02,100.0,21.0,22.3
132.02,100.0,21.0,22.3
133.02,100.0,21.0,22.3
134.02,100.0,21.0,22.3
135.02,100.0,21.1,22.3
136.02,100.0,21.1,22.3
137.02,100.0,21.1,22.3
138.02,100.0,21.1,22.3
139.02,100.0,21.1,22.3
140.02,99.7,21.0,22.3
141.02,100.0,21.0,22.3
142.02,100.0,21.0,22.3
143.02,100.0,21.0,22.3
144.02,100.0,21.0,22.3
145.02,100.0,21.0,22.3
146.02,100.0,21.0,22.3
147.02,100.0,21.0,22.3
148.02,100.0,21.0,22.3
149.02,100.0,21.0,22.3
150.02,100.0,21.0,22.3
151.02,100.0,21.0,22.3
152.02,100.0,21.0,22.3
153.02,100.0,21.0,22.3
154.02,100.0,21.0,22.3
155.02,99.7,21.0,22.3
156.02,100.0,21.0,22.3
157.02,100.0,21.0,22.3
158.02,99.7,21.1,22.3
159.02,100.0,21.1,22.3
160.02,100.0,21.1,22.3
161.02,100.0,21.1,22.3
162.02,100.0,21.1,22.3
163.02,100.0,21.1,22.3
164.02,100.0,21.1,22.3
165.02,100.0,21.1,22.3
166.02,99.7,21.1,22.3
167.02,100.0,21.1,22.3
168.02,100.0,21.1,22.3
