Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
358.03,74.9,3.0,45.1
359.03,74.7,3.0,45.1
360.03,75.1,3.0,45.1
361.03,75.2,3.0,45.1
362.03,74.7,3.0,45.1
363.03,75.1,3.0,45.1
364.03,75.4,3.0,45.1
365.03,74.0,3.0,45.1
366.03,75.0,3.0,45.1
367.03,74.6,3.0,45.1
368.03,74.4,3.0,45.1
369.03,75.1,3.0,45.1
370.03,75.0,3.0,45.1
371.03,74.9,3.0,45.1
372.03,71.8,3.0,45.1
373.03,75.0,3.0,45.1
374.03,75.2,3.0,45.1
375.03,75.2,3.0,45.1
376.03,74.9,3.0,45.1
377.03,75.2,3.0,45.1
378.03,75.3,3.0,45.1
379.03,74.8,3.0,45.1
380.03,75.0,3.0,45.1
381.03,75.4,3.0,45.1
382.03,74.5,3.0,45.1
383.03,74.6,3.0,45.1
384.03,74.9,3.0,45.1
385.03,74.8,3.0,45.1
386.03,75.2,3.0,45.1
387.03,74.1,3.0,45.1
388.03,74.9,3.0,45.1
389.03,75.1,3.0,45.1
390.03,73.9,3.0,45.1
391.03,74.8,3.0,45.1
392.03,75.2,3.0,45.1
393.03,74.9,3.0,45.1
394.03,75.1,3.0,45.1
395.03,75.3,3.0,45.1
396.03,74.2,3.0,45.1
397.03,75.1,3.0,45.1
398.03,74.2,3.0,45.1
399.03,74.0,3.0,45.1
400.03,74.2,3.0,45.1
401.03,75.1,3.0,45.1
402.03,75.1,3.0,45.1
403.03,74.2,3.0,45.1
404.03,75.0,3.0,45.1
405.03,73.9,3.0,45.1
406.03,74.7,3.0,45.1
407.03,74.3,3.0,45.1
408.03,64.2,3.0,45.1
409.03,74.9,3.0,45.1
410.03,75.0,3.0,45.1
411.03,75.3,3.0,45.1
412.03,72.1,3.0,45.1
413.03,74.7,3.0,45.1
414.03,74.8,3.0,45.1
415.03,74.8,3.0,45.1
416.03,74.7,3.0,45.1
417.03,74.7,3.0,45.1
418.03,75.1,3.0,45.1
419.03,75.2,3.0,45.1
420.03,74.9,3.0,45.1
421.03,74.7,3.0,45.1
422.03,74.6,3.0,45.1
423.03,74.2,3.0,45.1
424.04,75.3,3.0,45.1
425.04,74.9,3.0,45.1
426.04,74.9,3.0,45.1
427.04,75.1,3.0,45.1
428.04,74.5,3.0,45.1
429.04,75.2,3.0,45.1
430.04,75.1,3.0,45.1
431.04,73.9,3.0,45.1
432.04,74.7,3.0,45.1
433.04,74.3,3.0,45.1
434.04,75.4,3.0,45.1
435.04,74.7,3.0,45.1
436.04,74.6,3.0,45.1
437.04,74.5,3.0,45.1
438.04,75.0,3.0,45.1
439.04,74.4,3.0,45.1
440.04,74.7,3.0,45.1
441.04,74.8,3.0,45.1
442.04,74.1,3.0,45.1
443.04,75.1,3.0,45.1
444.04,74.8,3.0,45.1
445.04,73.5,3.0,45.1
446.04,75.3,3.0,45.1
447.04,74.7,3.0,45.1
448.04,75.3,3.0,45.1
449.04,74.7,3.0,45.1
450.04,74.7,3.0,45.1
451.04,74.8,3.0,45.1
452.04,72.7,3.0,45.1
453.04,75.1,3.0,45.1
454.04,73.8,3.0,45.1
455.04,75.2,3.0,45.1
456.04,74.4,3.0,45.1
457.04,73.3,3.0,45.1
458.04,74.8,3.0,45.1
459.04,74.0,3.0,45.1
460.04,67.8,3.0,45.1
461.04,70.2,3.0,45.1
462.04,69.5,3.0,45.1
463.04,68.6,3.0,45.1
464.04,74.4,3.0,45.1
465.04,68.8,3.0,45.1
466.04,74.9,3.0,45.1
467.04,75.1,3.0,45.1
468.04,71.1,3.0,45.1
469.04,75.2,3.0,45.1
470.04,75.6,3.0,45.1
471.04,74.8,3.0,45.1
472.04,75.4,3.0,45.1
473.04,74.7,3.0,45.1
474.04,75.2,3.0,45.1
475.04,74.8,3.0,45.1
476.04,74.4,3.0,45.1
477.04,75.3,3.0,45.1
478.04,75.1,3.0,45.1
479.04,75.1,3.0,45.1
480.04,74.4,3.0,45.1
481.04,74.9,3.0,45.1
482.04,74.3,3.0,45.1
483.04,75.2,3.0,45.1
484.04,74.8,3.0,45.1
485.04,75.0,3.0,45.1
486.04,75.2,3.0,45.1
487.04,74.5,3.0,45.1
488.04,75.0,3.0,45.1
489.04,74.6,3.0,45.1
490.04,75.1,3.0,45.1
491.04,75.4,3.0,45.1
492.04,74.3,3.0,45.1
493.04,75.1,3.0,45.1
494.04,74.7,3.0,45.1
495.04,75.2,3.0,45.1
496.04,69.3,3.0,45.1
497.04,75.2,3.0,45.1
498.04,75.0,3.0,45.1
499.04,74.8,3.0,45.1
500.04,74.9,3.0,45.1
501.04,74.3,3.0,45.1
502.04,75.3,3.0,45.1
503.04,74.5,3.0,45.1
504.04,75.2,3.0,45.1
505.04,74.0,3.0,45.1
506.04,73.9,3.0,45.1
507.04,75.0,3.0,45.1
508.04,75.0,3.0,45.1
509.04,75.2,3.0,45.1
510.04,74.7,3.0,45.1
511.04,75.2,3.0,45.1
512.04,74.8,3.0,45.1
513.04,75.5,3.0,45.1
514.04,75.3,3.0,45.1
515.04,74.2,3.0,45.1
516.04,75.3,3.0,45.1
517.04,75.1,3.0,45.1
518.04,75.0,3.0,45.1
519.04,74.4,3.0,45.1
520.04,75.3,3.0,45.1
521.04,74.9,3.0,45.1
522.04,74.9,3.0,45.1
523.04,74.7,3.0,45.1
524.04,75.3,3.0,45.1
525.04,75.0,3.0,45.1
526.04,75.0,3.0,45.1
527.04,75.3,3.0,45.1
528.04,75.1,3.0,45.1
529.04,74.4,3.0,45.1
530.05,75.2,3.0,45.1
531.05,74.9,3.0,45.1
532.05,74.8,3.0,45.1
533.05,74.5,3.0,45.1
534.05,74.6,3.0,45.1
535.05,75.0,3.0,45.1
536.05,74.9,3.0,45.1
537.05,75.0,3.0,45.1
538.05,74.6,3.0,45.1
539.05,75.2,3.0,45.1
540.05,74.6,3.0,45.1
541.05,75.0,3.0,45.1
542.05,74.7,3.0,45.1
543.05,74.3,3.0,45.1
544.05,75.2,3.0,45.1
545.05,74.8,3.0,45.1
546.05,74.9,3.0,45.1
547.05,74.4,3.0,45.1
548.05,74.8,3.0,45.1
549.05,75.0,3.0,45.1
550.05,74.9,3.0,45.1
551.05,75.1,3.0,45.1
552.05,74.7,3.0,45.1
553.05,75.3,3.0,45.1
554.05,73.8,3.0,45.1
555.05,75.5,3.0,45.1
556.05,74.7,3.0,45.1
557.05,75.1,3.0,45.1
558.05,75.1,3.0,45.1
559.05,74.4,3.0,45.1
560.05,74.6,3.0,45.1
561.05,74.7,3.0,45.1
562.05,75.4,3.0,45.1
563.05,18.4,3.0,45.1
564.05,31.6,3.0,45.1
565.05,74.3,3.0,45.1
566.05,75.1,3.0,45.1
567.05,74.0,3.0,45.1
568.05,74.7,3.0,45.1
569.05,74.9,3.0,45.1
570.05,75.3,3.0,45.1
571.05,74.7,3.0,45.1
572.05,74.6,3.0,45.1
573.05,75.2,3.0,45.1
574.05,74.8,3.0,45.1
575.05,75.0,3.0,45.1
576.05,74.5,3.0,45.1
577.05,75.2,3.0,45.1
578.05,74.7,3.0,45.1
579.05,74.7,3.0,45.1
580.05,75.2,3.0,45.1
581.05,74.1,3.0,45.1
582.05,74.9,3.0,45.1
583.05,75.1,3.0,45.1
584.05,75.2,3.0,45.1
585.05,74.6,3.0,45.1
586.05,74.9,3.0,45.1
587.05,74.7,3.0,45.1
588.05,75.0,3.0,45.1
589.05,75.2,3.0,45.1
590.05,74.7,3.0,45.1
591.05,75.1,3.0,45.1
592.05,74.9,3.0,45.1
593.05,70.6,3.0,45.1
594.05,74.7,3.0,45.1
595.05,74.4,3.0,45.1
596.05,74.7,3.0,45.1
597.05,74.9,3.0,45.1
598.05,75.3,3.0,45.1
599.05,74.0,3.0,45.1
600.05,75.2,3.0,45.1
601.05,74.6,3.0,45.1
602.05,74.4,3.0,45.1
603.05,74.9,3.0,45.1
604.05,73.8,3.0,45.1
605.05,75.1,3.0,45.1
606.05,74.6,3.0,45.1
607.05,75.2,3.0,45.1
608.05,74.8,3.0,45.1
609.05,75.0,3.0,45.1
610.05,74.7,3.0,45.1
611.05,74.3,3.0,45.1
612.05,75.1,3.0,45.1
613.05,74.8,3.0,45.1
614.05,75.2,3.0,45.1
615.05,74.4,3.0,45.1
616.05,75.3,3.0,45.1
617.05,74.9,3.0,45.1
618.05,73.3,3.0,45.1
619.05,74.4,3.0,45.1
620.05,74.4,3.0,45.1
621.05,75.2,3.0,45.1
622.05,74.9,3.0,45.1
623.05,74.4,3.0,45.1
624.05,75.4,3.0,45.1
625.05,75.2,3.0,45.1
626.05,75.3,3.0,45.1
627.05,74.1,3.0,45.1
628.05,74.8,3.0,45.1
629.05,74.2,3.0,45.1
630.05,75.4,3.0,45.1
631.05,74.5,3.0,45.1
632.05,74.8,3.0,45.1
633.05,74.5,3.0,45.1
634.05,68.7,3.0,45.1
635.05,75.3,3.0,45.1
636.05,73.9,3.0,45.1
637.05,75.3,3.0,45.1
638.05,74.8,3.0,45.1
639.05,75.2,3.0,45.1
640.05,75.0,3.0,45.1
641.05,75.2,3.0,45.1
642.05,73.1,3.0,45.1
643.05,74.6,3.0,45.1
644.05,74.8,3.0,45.1
645.05,74.5,3.0,45.1
646.05,75.1,3.0,45.1
647.05,73.7,3.0,45.1
648.06,75.1,3.0,45.1
649.06,73.4,3.0,45.1
650.06,75.3,3.0,45.1
651.06,75.4,3.0,45.1
652.06,74.2,3.0,45.1
653.06,74.9,3.0,45.1
654.06,75.0,3.0,45.1
655.06,74.9,3.0,45.1
656.06,74.6,3.0,45.1
657.06,75.5,3.0,45.1
658.06,74.7,3.0,45.1
659.06,74.4,3.0,45.1
660.06,75.2,3.0,45.1
661.06,74.3,3.0,45.1
662.06,69.7,3.0,45.1
663.06,74.7,3.0,45.1
664.06,74.4,3.0,45.1
665.06,75.2,3.0,45.1
666.06,73.6,3.0,45.1
667.06,74.9,3.0,45.1
668.06,73.0,3.0,45.1
669.06,72.3,3.0,45.1
670.06,74.1,3.0,45.1
671.06,74.9,3.0,45.1
672.06,74.6,3.0,45.1
673.06,74.7,3.0,45.1
674.06,74.9,3.0,45.1
675.06,74.5,3.0,45.1
676.06,75.2,3.0,45.1
677.06,74.5,3.0,45.1
678.06,74.7,3.0,45.1
679.06,74.8,3.0,45.1
680.06,73.7,3.0,45.1
681.06,75.0,3.0,45.1
682.06,74.3,3.0,45.1
683.06,74.5,3.0,45.1
684.06,74.5,3.0,45.1
685.06,74.5,3.0,45.1
686.06,74.8,3.0,45.1
687.06,74.9,3.0,45.1
688.06,75.2,3.0,45.1
689.06,74.5,3.0,45.1
690.06,74.6,3.0,45.1
691.06,73.5,3.0,45.1
692.06,75.2,3.0,45.1
693.06,74.8,3.0,45.1
694.06,74.7,3.0,45.1
695.06,75.3,3.0,45.1
696.06,74.9,3.0,45.1
697.06,74.7,3.0,45.1
698.06,73.0,3.0,45.1
699.06,74.5,3.0,45.1
700.06,74.6,3.0,45.1
701.06,74.8,3.0,45.1
702.06,75.0,3.0,45.1
703.06,74.2,3.0,45.1
704.06,74.9,3.0,45.1
705.06,74.8,3.0,45.1
706.06,75.2,3.0,45.1
707.06,75.1,3.0,45.1
708.06,74.9,3.0,45.1
709.06,74.3,3.0,45.1
710.06,75.0,3.0,45.1
711.06,75.1,3.0,45.1
712.06,74.3,3.0,45.1
713.06,75.6,3.0,45.1
714.06,74.1,3.0,45.1
715.06,75.2,3.0,45.1
716.06,74.6,3.0,45.1
717.06,74.9,3.0,45.1
718.06,74.9,3.0,45.1
719.06,74.3,3.0,45.1
720.06,74.8,3.0,45.1
721.06,74.3,3.0,45.1
722.06,74.5,3.0,45.1
723.06,75.1,3.0,45.1
724.06,74.2,3.0,45.1
725.06,75.0,3.0,45.1
726.06,74.5,3.0,45.1
727.06,74.8,3.0,45.1
728.06,74.3,3.0,45.1
729.06,75.1,3.0,45.1
730.06,74.7,3.0,45.1
731.06,75.3,3.0,45.1
732.06,74.6,3.0,45.1
733.06,74.2,3.0,45.1
734.06,75.3,3.0,45.1
735.06,74.0,3.0,45.1
736.06,75.3,3.0,45.1
737.06,74.9,3.0,45.1
738.06,74.7,3.0,45.1
739.06,74.8,3.0,45.1
740.06,74.2,3.0,45.1
741.06,75.0,3.0,45.1
742.06,74.1,3.0,45.1
743.06,75.2,3.0,45.1
744.06,74.8,3.0,45.1
745.06,74.6,3.0,45.1
